# i_rad	L_edd
0.000000000000000000e+00 1.231258257522744088e+03
8.726646259971647954e-04 1.201182293843101434e+03
1.745329251994329591e-03 1.170889044713592057e+03
2.617993877991494495e-03 1.140410930003749172e+03
3.490658503988659182e-03 1.109780369583106449e+03
4.363323129985823869e-03 1.079029783321197783e+03
5.235987755982988989e-03 1.048191591087556390e+03
6.108652381980153243e-03 1.017298212751716392e+03
6.981317007977318363e-03 9.863820681832110040e+02
7.853981633974483484e-03 9.554755772515736680e+02
8.726646259971647737e-03 9.246111598263382803e+02
9.599310885968811990e-03 8.938212357770385097e+02
1.047197551196597798e-02 8.631382249732077980e+02
1.134464013796314223e-02 8.325945472843798143e+02
1.221730476396030649e-02 8.022226225800882276e+02
1.308996938995747247e-02 7.720548707298663658e+02
1.396263401595463673e-02 7.421237116032483527e+02
1.483529864195180098e-02 7.124615650697674027e+02
1.570796326794896697e-02 6.831008509989571849e+02
1.658062789394612949e-02 6.540739892603513681e+02
1.745329251994329547e-02 6.254133997234836215e+02
1.832595714594046146e-02 5.971515022578872731e+02
1.919862177193762398e-02 5.693207167330963330e+02
2.007128639793478997e-02 5.419534630186441291e+02
2.094395102393195596e-02 5.150821609840643305e+02
2.181661564992911848e-02 4.887392304988906631e+02
2.268928027592628446e-02 4.629570914326566253e+02
2.356194490192345045e-02 4.377681636548956590e+02
2.443460952792061297e-02 4.132048670351417172e+02
2.530727415391777896e-02 3.892996214429282418e+02
2.617993877991494495e-02 3.660848467477887880e+02
2.705260340591210746e-02 3.435929628192570817e+02
2.792526803190927345e-02 3.218563895268666784e+02
2.879793265790643944e-02 3.009075467401510764e+02
2.967059728390360196e-02 2.807788543286441154e+02
3.054326190990076795e-02 2.615027321618792371e+02
3.141592653589793394e-02 2.431116001093899968e+02
3.228859116189509992e-02 2.256378780407101772e+02
3.316125578789225897e-02 2.091139858253733337e+02
3.403392041388942496e-02 1.935723433329129364e+02
3.490658503988659095e-02 1.790453704328629954e+02
3.577924966588375694e-02 1.655654869947565828e+02
3.665191429188092292e-02 1.531651128881275667e+02
3.752457891787808891e-02 1.418766679825095025e+02
3.839724354387524796e-02 1.317325721474361444e+02
3.926990816987241395e-02 1.227652452524409341e+02
4.014257279586957994e-02 1.150071071670577680e+02
4.101523742186674593e-02 1.084905777608199742e+02
4.188790204786391191e-02 1.032480769032609942e+02
4.276056667386107790e-02 9.931202446391478134e+01
4.363323129985823695e-02 9.671484031231474887e+01
4.450589592585540294e-02 9.480968768890528509e+01
4.537856055185256893e-02 9.292805353197212526e+01
4.625122517784973492e-02 9.106984325781128575e+01
4.712388980384690090e-02 8.923496228271869768e+01
4.799655442984406689e-02 8.742331602299039162e+01
4.886921905584122594e-02 8.563480989492231288e+01
4.974188368183839193e-02 8.386934931481040678e+01
5.061454830783555792e-02 8.212683969895068969e+01
5.148721293383272390e-02 8.040718646363910693e+01
5.235987755982988989e-02 7.871029502517164644e+01
5.323254218582705588e-02 7.703607079984428196e+01
5.410520681182421493e-02 7.538441920395300144e+01
5.497787143782138092e-02 7.375524565379375019e+01
5.585053606381854691e-02 7.214845556566251616e+01
5.672320068981571289e-02 7.056395435585528730e+01
5.759586531581287888e-02 6.900164744066802314e+01
5.846852994181003793e-02 6.746144023639669740e+01
5.934119456780720392e-02 6.594323815933729804e+01
6.021385919380436991e-02 6.444694662578577038e+01
6.108652381980153590e-02 6.297247105203810946e+01
6.195918844579870188e-02 6.151971685439028903e+01
6.283185307179586787e-02 6.008858944913828282e+01
6.370451769779303386e-02 5.867899425257806456e+01
6.457718232379019985e-02 5.729083668100560800e+01
6.544984694978736584e-02 5.592402215071688687e+01
6.632251157578451795e-02 5.457845607800790333e+01
6.719517620178168393e-02 5.325404387917458138e+01
6.806784082777884992e-02 5.195069097051291607e+01
6.894050545377601591e-02 5.066830276831888114e+01
6.981317007977318190e-02 4.940678468888845742e+01
7.068583470577034789e-02 4.816604214851761867e+01
7.155849933176751387e-02 4.694598056350233151e+01
7.243116395776467986e-02 4.574650535013857677e+01
7.330382858376184585e-02 4.456752192472233531e+01
7.417649320975901184e-02 4.340893570354955955e+01
7.504915783575617783e-02 4.227065210291625164e+01
7.592182246175334381e-02 4.115257653911835689e+01
7.679448708775049592e-02 4.005461442845189879e+01
7.766715171374766191e-02 3.897667118721278001e+01
7.853981633974482790e-02 3.791865223169703114e+01
7.941248096574199389e-02 3.688046297820059038e+01
8.028514559173915988e-02 3.586200884301945990e+01
8.115781021773632586e-02 3.486319524244960633e+01
8.203047484373349185e-02 3.388392759278700339e+01
8.290313946973065784e-02 3.292411131032761773e+01
8.377580409572782383e-02 3.198365181136743018e+01
8.464846872172498982e-02 3.106245451220241449e+01
8.552113334772215580e-02 3.016042482912854084e+01
8.639379797371930791e-02 2.927746817844180782e+01
8.726646259971647390e-02 2.841348997643814300e+01
8.813912722571363989e-02 2.756839563941355919e+01
8.901179185171080588e-02 2.674209058366400882e+01
8.988445647770797187e-02 2.593448022548549048e+01
9.075712110370513785e-02 2.514546998117394594e+01
9.162978572970230384e-02 2.437496526702538091e+01
9.250245035569946983e-02 2.362287149933574781e+01
9.337511498169663582e-02 2.288909409440103815e+01
9.424777960769380181e-02 2.217353846851720789e+01
9.512044423369096779e-02 2.147611003798025209e+01
9.599310885968813378e-02 2.079671421908612317e+01
9.686577348568528589e-02 2.013525642813082328e+01
9.773843811168245188e-02 1.949164208141028709e+01
9.861110273767961787e-02 1.886577659522053807e+01
9.948376736367678386e-02 1.825756538585751088e+01
1.003564319896739498e-01 1.766691386961718280e+01
1.012290966156711158e-01 1.709372746279555599e+01
1.021017612416682818e-01 1.653791158168858644e+01
1.029744258676654478e-01 1.599937164259222122e+01
1.038470904936626138e-01 1.547801306180248382e+01
1.047197551196597798e-01 1.497374125561533376e+01
1.055924197456569458e-01 1.448646164032674477e+01
1.064650843716541118e-01 1.401607963223265685e+01
1.073377489976512639e-01 1.356250064762910768e+01
1.082104136236484299e-01 1.312563010281198572e+01
1.090830782496455958e-01 1.270537341407736065e+01
1.099557428756427618e-01 1.230163599772116356e+01
1.108284075016399278e-01 1.191432327003936464e+01
1.117010721276370938e-01 1.154334064732790388e+01
1.125737367536342598e-01 1.118859354588281363e+01
1.134464013796314258e-01 1.084998738200008361e+01
1.143190660056285918e-01 1.052742757197561474e+01
1.151917306316257578e-01 1.022081953210541094e+01
1.160643952576229238e-01 9.930068678685476158e+00
1.169370598836200759e-01 9.655080428011778793e+00
1.178097245096172418e-01 9.395760196380260609e+00
1.186823891356144078e-01 9.152013400086918438e+00
1.195550537616115738e-01 8.923745455427685158e+00
1.204277183876087398e-01 8.710861778698603786e+00
1.213003830136059058e-01 8.513267786195623188e+00
1.221730476396030718e-01 8.330868894214688680e+00
1.230457122656002378e-01 8.163570519051788210e+00
1.239183768915974038e-01 8.011278077002923936e+00
1.247910415175945698e-01 7.873896984364058937e+00
1.256637061435917357e-01 7.751332657431145634e+00
1.265363707695889017e-01 7.643490512500154210e+00
1.274090353955860677e-01 7.550275965867095707e+00
1.282817000215832337e-01 7.471594433827934978e+00
1.291543646475803997e-01 7.407351332678636879e+00
1.300270292735775657e-01 7.357452078715141397e+00
1.308996938995747317e-01 7.321802088233490657e+00
1.317723585255718977e-01 7.293381079379766874e+00
1.326450231515690359e-01 7.265232011516077115e+00
1.335176877775662019e-01 7.237355162762345806e+00
1.343903524035633679e-01 7.209750811238499146e+00
1.352630170295605339e-01 7.182419235064466001e+00
1.361356816555576998e-01 7.155360712360169906e+00
1.370083462815548658e-01 7.128575521245538837e+00
1.378810109075520318e-01 7.102063939840499884e+00
1.387536755335491978e-01 7.075826246264976582e+00
1.396263401595463638e-01 7.049862718638896908e+00
1.404990047855435298e-01 7.024173635082187062e+00
1.413716694115406958e-01 6.998759273714773244e+00
1.422443340375378618e-01 6.973619912656581654e+00
1.431169986635350277e-01 6.948755830027538494e+00
1.439896632895321937e-01 6.924167303947569962e+00
1.448623279155293597e-01 6.899854612536603149e+00
1.457349925415265257e-01 6.875818033914562477e+00
1.466076571675236917e-01 6.852057846201375924e+00
1.474803217935208577e-01 6.828574327516969689e+00
1.483529864195180237e-01 6.805367755981269973e+00
1.492256510455151897e-01 6.782438409714202088e+00
1.500983156715123557e-01 6.759786566835693122e+00
1.509709802975095216e-01 6.737412505465669277e+00
1.518436449235066876e-01 6.715316503724056751e+00
1.527163095495038259e-01 6.693498839730782635e+00
1.535889741755009918e-01 6.671959791605771350e+00
1.544616388014981578e-01 6.650699637468950876e+00
1.553343034274953238e-01 6.629718655440246522e+00
1.562069680534924898e-01 6.609017123639585378e+00
1.570796326794896558e-01 6.588595320186892756e+00
1.579522973054868218e-01 6.568453523202094857e+00
1.588249619314839878e-01 6.548592010805119656e+00
1.596976265574811538e-01 6.529011061115892467e+00
1.605702911834783198e-01 6.509710952254338601e+00
1.614429558094754857e-01 6.490691962340386922e+00
1.623156204354726517e-01 6.471954369493960080e+00
1.631882850614698177e-01 6.453498451834986938e+00
1.640609496874669837e-01 6.435324487483392808e+00
1.649336143134641497e-01 6.417432754559104779e+00
1.658062789394613157e-01 6.399823531182048164e+00
1.666789435654584817e-01 6.382497095472150050e+00
1.675516081914556477e-01 6.365453725549335751e+00
1.684242728174528136e-01 6.348693699533533241e+00
1.692969374434499796e-01 6.332217295544666946e+00
1.701696020694471456e-01 6.316024791702663954e+00
1.710422666954443116e-01 6.300116466127450465e+00
1.719149313214414776e-01 6.284492596938953568e+00
1.727875959474386158e-01 6.269153462257097686e+00
1.736602605734357818e-01 6.254099340201810797e+00
1.745329251994329478e-01 6.239330508893019100e+00
1.754055898254301138e-01 6.224847246450647908e+00
1.762782544514272798e-01 6.210649830994624310e+00
1.771509190774244458e-01 6.196738540644873616e+00
1.780235837034216118e-01 6.183113653521322917e+00
1.788962483294187777e-01 6.169775447743899299e+00
1.797689129554159437e-01 6.156724201432527188e+00
1.806415775814131097e-01 6.143960192707133672e+00
1.815142422074102757e-01 6.131483699687645839e+00
1.823869068334074417e-01 6.119295000493989001e+00
1.832595714594046077e-01 6.107394373246089359e+00
1.841322360854017737e-01 6.095782096063873112e+00
1.850049007113989397e-01 6.084458447067268239e+00
1.858775653373961056e-01 6.073423704376198273e+00
1.867502299633932716e-01 6.062678146110592081e+00
1.876228945893904376e-01 6.052222050390374086e+00
1.884955592153876036e-01 6.042055695335471377e+00
1.893682238413847696e-01 6.032179359065810154e+00
1.902408884673819356e-01 6.022593319701317505e+00
1.911135530933791016e-01 6.013297855361918742e+00
1.919862177193762676e-01 6.004293244167539179e+00
1.928588823453734336e-01 5.995579764238106790e+00
1.937315469713705718e-01 5.987157693693548666e+00
1.946042115973677378e-01 5.979027310653788341e+00
1.954768762233649038e-01 5.971188893238752904e+00
1.963495408493620697e-01 5.963642719568370332e+00
1.972222054753592357e-01 5.956389067762566825e+00
1.980948701013564017e-01 5.949428215941265918e+00
1.989675347273535677e-01 5.942760442224396478e+00
1.998401993533507337e-01 5.936386024731882927e+00
2.007128639793478997e-01 5.930305241583654130e+00
2.015855286053450657e-01 5.924518370899633624e+00
2.024581932313422317e-01 5.919025690799750272e+00
2.033308578573393977e-01 5.913827479403927612e+00
2.042035224833365636e-01 5.908924014832093619e+00
2.050761871093337296e-01 5.904315575204174493e+00
2.059488517353308956e-01 5.900002438640095548e+00
2.068215163613280616e-01 5.895984883259784759e+00
2.076941809873252276e-01 5.892263187183165662e+00
2.085668456133223936e-01 5.888837628530168011e+00
2.094395102393195596e-01 5.885708485420715341e+00
2.103121748653167256e-01 5.882876035974735629e+00
2.111848394913138915e-01 5.880340558312154187e+00
2.120575041173110575e-01 5.878102330552898991e+00
2.129301687433082235e-01 5.876161630816893577e+00
2.138028333693053618e-01 5.874518737224064147e+00
2.146754979953025277e-01 5.873173927894340451e+00
2.155481626212996937e-01 5.872127480947646028e+00
2.164208272472968597e-01 5.871379674503907964e+00
2.172934918732940257e-01 5.870930786683052460e+00
2.181661564992911917e-01 5.870781095605006605e+00
2.190388211252883577e-01 5.872307838369261290e+00
2.199114857512855237e-01 5.876847080279095081e+00
2.207841503772826897e-01 5.884337341760105922e+00
2.216568150032798556e-01 5.894717143237895307e+00
2.225294796292770216e-01 5.907925005138062957e+00
2.234021442552741876e-01 5.923899447886211256e+00
2.242748088812713536e-01 5.942578991907938146e+00
2.251474735072685196e-01 5.963902157628846901e+00
2.260201381332656856e-01 5.987807465474534574e+00
2.268928027592628516e-01 6.014233435870604438e+00
2.277654673852600176e-01 6.043118589242655325e+00
2.286381320112571836e-01 6.074401446016288730e+00
2.295107966372543495e-01 6.108020526617105261e+00
2.303834612632515155e-01 6.143914351470703750e+00
2.312561258892486815e-01 6.182021441002686579e+00
2.321287905152458475e-01 6.222280315638652581e+00
2.330014551412430135e-01 6.264629495804204140e+00
2.338741197672401517e-01 6.309007501924938310e+00
2.347467843932373177e-01 6.355352854426458364e+00
2.356194490192344837e-01 6.403604073734365798e+00
2.364921136452316497e-01 6.453699680274258554e+00
2.373647782712288157e-01 6.505578194471738129e+00
2.382374428972259817e-01 6.559178136752405130e+00
2.391101075232231477e-01 6.614438027541860166e+00
2.399827721492203136e-01 6.671296387265702066e+00
2.408554367752174796e-01 6.729691736349533215e+00
2.417281014012146456e-01 6.789562595218953334e+00
2.426007660272118116e-01 6.850847484299563028e+00
2.434734306532089776e-01 6.913484924016962019e+00
2.443460952792061436e-01 6.977413434796751801e+00
2.452187599052033096e-01 7.042571537064532983e+00
2.460914245312004756e-01 7.108897751245904395e+00
2.469640891571976415e-01 7.176330597766468422e+00
2.478367537831948075e-01 7.244808597051823895e+00
2.487094184091919735e-01 7.314270269527573198e+00
2.495820830351891395e-01 7.384654135619313386e+00
2.504547476611863055e-01 7.455898715752649508e+00
2.513274122871834715e-01 7.527942530353178618e+00
2.522000769131806375e-01 7.600724099846502213e+00
2.530727415391778035e-01 7.674181944658220900e+00
2.539454061651749694e-01 7.748254585213935286e+00
2.548180707911721354e-01 7.822880541939245980e+00
2.556907354171693014e-01 7.897998335259750924e+00
2.565634000431664674e-01 7.973546485601053391e+00
2.574360646691636334e-01 8.049463513388754876e+00
2.583087292951607994e-01 8.125687939048452435e+00
2.591813939211579654e-01 8.202158283005749340e+00
2.600540585471551314e-01 8.278813065686243533e+00
2.609267231731522974e-01 8.355590807515538287e+00
2.617993877991494633e-01 8.432430028919231546e+00
2.626720524251466293e-01 8.509269250322923028e+00
2.635447170511437953e-01 8.586046992152217783e+00
2.644173816771409058e-01 8.662701774832710200e+00
2.652900463031380718e-01 8.739172118790003552e+00
2.661627109291352378e-01 8.815396544449701111e+00
2.670353755551324038e-01 8.891313572237400820e+00
2.679080401811295697e-01 8.966861722578705951e+00
2.687807048071267357e-01 9.041979515899212672e+00
2.696533694331239017e-01 9.116605472624522477e+00
2.705260340591210677e-01 9.190678113180236863e+00
2.713986986851182337e-01 9.264135957991953774e+00
2.722713633111153997e-01 9.336917527485278256e+00
2.731440279371125657e-01 9.408961342085806479e+00
2.740166925631097317e-01 9.480205922219141712e+00
2.748893571891068976e-01 9.550589788310883677e+00
2.757620218151040636e-01 9.620051460786632092e+00
2.766346864411012296e-01 9.688529460071988453e+00
2.775073510670983956e-01 9.755962306592550703e+00
2.783800156930955616e-01 9.822288520773923892e+00
2.792526803190927276e-01 9.887446623041704186e+00
2.801253449450898936e-01 9.951375133821493080e+00
2.809980095710870596e-01 1.001401257353889207e+01
2.818706741970842256e-01 1.007529746261950265e+01
2.827433388230813915e-01 1.013516832148892277e+01
2.836160034490785575e-01 1.019356367057275037e+01
2.844886680750757235e-01 1.025042203029659760e+01
2.853613327010728895e-01 1.030568192108604819e+01
2.862339973270700555e-01 1.035928186336671786e+01
2.871066619530672215e-01 1.041116037756419743e+01
